,ChEMBL ID,Name,SMILES,Molecular Weight,LogP,HBA,HBD,TPSA,Protein
99,CHEMBL302183,,Fc1ccc(-c2cncc(CN3CCN(c4ncccn4)CC3)c2)cc1,349.41,3.00,5,0,45.15,DRD2
100,CHEMBL304692,,c1cnc(N2CCN(Cc3cccc4c3-c3ccccc3C4)CC2)nc1,342.45,3.37,4,0,32.26,DRD2
101,CHEMBL555670,,Cl.Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,363.29,3.54,3,1,35.16,DRD2
102,CHEMBL291380,,Fc1ccccc1-c1cccc(CN2CCN(c3ncccn3)CC2)c1,348.42,3.60,4,0,32.26,DRD2
103,CHEMBL40391,,Nc1cccc(-c2ccc(CCN3CCN(CC(=O)c4ccccc4)CC3)cc2)n1,400.53,3.37,5,1,62.46,DRD2
104,CHEMBL64671,,COc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1,360.46,3.47,5,0,41.49,DRD2
105,CHEMBL62829,,Fc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1,348.42,3.60,4,0,32.26,DRD2
106,CHEMBL64119,,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C\C(=O)O,455.56,3.97,4,0,28.60,DRD2
107,CHEMBL302904,,Fc1ccc(-c2cncc(CN3CCN(c4ccccc4)CC3)c2)cc1,347.44,4.21,3,0,19.37,DRD2
108,CHEMBL60957,,Fc1ccc(-c2cncc(CN3CCN(c4cnccn4)CC3)c2)cc1,349.41,3.00,5,0,45.15,DRD2
109,CHEMBL82652,,O=C(NC[C@H]1CCCN1CCc1ccccc1)C1CCCCC1,314.47,3.39,2,1,32.34,DRD2
110,CHEMBL356304,,CSc1cccc(C(=O)NC[C@@H]2CCCN2CCc2ccccc2)c1,354.52,3.85,3,1,32.34,DRD2
111,CHEMBL147279,,O=C(NC[C@@H]1CCCN1CCc1ccccc1)c1ccccc1,308.43,3.12,2,1,32.34,DRD2
112,CHEMBL82884,,O=C(NC[C@@H]1CCCN1CCc1ccccc1)C1CCCCC1,314.47,3.39,2,1,32.34,DRD2
113,CHEMBL148249,,CSc1cccc(C(=O)NC[C@H]2CCCN2CCc2ccccc2)c1,354.52,3.85,3,1,32.34,DRD2
114,CHEMBL56,8-OH-DPAT,CCCN(CCC)C1CCc2cccc(O)c2C1,247.38,3.37,2,1,23.47,DRD2
115,CHEMBL147226,,O=C(NC[C@H]1CCCN1CCc1ccccc1)c1ccccc1,308.43,3.12,2,1,32.34,DRD2
116,CHEMBL1204116,,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(Cl)c1,442.23,4.92,2,0,6.48,DRD2
117,CHEMBL42,CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.83,3.72,4,1,30.87,DRD2
118,CHEMBL1203260,,Cl.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccn3)CC2)cc1,329.88,3.01,3,0,19.37,DRD2
119,CHEMBL1202203,,Br.c1ccc([C@H]2C[C@@H]2CN2CCN(c3cccnc3)CC2)cc1,374.33,3.01,3,0,19.37,DRD2
120,CHEMBL1202222,,Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3)CC2)cc1,425.77,4.40,2,0,6.48,DRD2
121,CHEMBL2092961,,Br.Cc1ccc(N2CCN(CC3CC3c3ccccc3)CC2)c(C)c1,401.39,4.23,2,0,6.48,DRD2
122,CHEMBL1202211,,Br.COc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,437.81,4.27,3,0,15.71,DRD2
123,CHEMBL1202213,,Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1Cl,442.23,4.92,2,0,6.48,DRD2
124,CHEMBL125455,,Clc1ccc(N2CCN(C[C@@H]3C[C@H]3c3ccccc3)CC2)c(Cl)c1,361.32,4.92,2,0,6.48,DRD2
125,CHEMBL1202216,,Br.COc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,403.36,3.62,3,0,15.71,DRD2
126,CHEMBL1202217,,Br.COc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,403.36,3.62,3,0,15.71,DRD2
127,CHEMBL1202202,,Br.Oc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,458.23,4.62,3,1,26.71,DRD2
128,CHEMBL54,HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87,4.43,3,1,40.54,DRD2
129,CHEMBL1202221,,Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,407.78,4.27,2,0,6.48,DRD2
130,CHEMBL1202220,,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,407.78,4.27,2,0,6.48,DRD2
131,CHEMBL1203257,,Cl.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ncccn3)CC2)cc1,330.86,2.40,4,0,32.26,DRD2
132,CHEMBL1202219,,Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3Cl)CC2)cc1,425.77,4.40,2,0,6.48,DRD2
133,CHEMBL1202210,,Br.Cc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,421.81,4.57,2,0,6.48,DRD2
134,CHEMBL341497,,c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3)CC2)cc1,292.43,3.61,2,0,6.48,DRD2
135,CHEMBL1202215,,Br.Clc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,407.78,4.27,2,0,6.48,DRD2
136,CHEMBL1202212,,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,442.23,4.92,2,0,6.48,DRD2
137,CHEMBL1202209,,Br.Cc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,405.36,4.06,2,0,6.48,DRD2
138,CHEMBL1202204,,Br.COc1c(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,472.25,4.93,3,0,15.71,DRD2
139,CHEMBL1202207,,Br.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccncc3)CC2)cc1,374.33,3.01,3,0,19.37,DRD2
140,CHEMBL1202206,,Br.COc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,472.25,4.93,3,0,15.71,DRD2
141,CHEMBL1202208,,Br.Cc1ccc(N2CCN(C[C@@H]3C[C@H]3c3ccccc3)CC2)c(C)c1,401.39,4.23,2,0,6.48,DRD2
142,CHEMBL1204119,,Br.Cc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(C)c1,401.39,4.23,2,0,6.48,DRD2
143,CHEMBL1202205,,Br.COc1ccc(Cl)cc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,437.81,4.27,3,0,15.71,DRD2
144,CHEMBL1202224,,Br.COc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,403.36,3.62,3,0,15.71,DRD2
145,CHEMBL1202225,,Br.Clc1cc(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,442.23,4.92,2,0,6.48,DRD2
146,CHEMBL1202223,,Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3cccc(Cl)c3)CC2)cc1,425.77,4.40,2,0,6.48,DRD2
147,CHEMBL1202214,,Br.Br.COc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,502.27,3.76,3,0,15.71,DRD2
148,CHEMBL22242,REMOXIPRIDE,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,371.28,2.68,4,1,50.80,DRD2
149,CHEMBL831,LOXAPINE,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,327.81,3.77,4,0,28.07,DRD2
